"","tissue","sample","technology","gene","cell_type","Z_score","log_fc","se","p_val","bias","xchr"
"1","Hippocampus","Mouse 1","Slide-seq","Pla2g7","Astrocyte",14.2660685791662,-1.84008522521628,0.128983343589382,3.56095269148192e-46,"paternal",FALSE
"2","Hippocampus","Mouse 1","Slide-seq","Ttyh1","Astrocyte",12.8436270559875,-4.09633395927169,0.318939030338945,9.33941468155612e-38,"paternal",FALSE
"3","Hippocampus","Mouse 1","Slide-seq","Gapdh","Astrocyte",11.0985260998043,-3.9638687333418,0.35715271538729,1.27529597551438e-28,"paternal",FALSE
"4","Hippocampus","Mouse 1","Slide-seq","Fau","Astrocyte",10.7478751964369,3.37183778608095,0.313721337888142,6.06424784420947e-27,"maternal",FALSE
"5","Hippocampus","Mouse 1","Slide-seq","Aldoc","Astrocyte",10.0715319992848,-0.323406119197824,0.0321109161169114,7.38191512662767e-24,"paternal",FALSE
"6","Hippocampus","Mouse 1","Slide-seq","Atp1a2","Astrocyte",9.69876614184842,-0.362469637147237,0.0373727577143288,3.05166578524639e-22,"paternal",FALSE
"7","Hippocampus","Mouse 1","Slide-seq","Rpl37","Astrocyte",9.67375714342305,2.50192706744352,0.258630336729563,3.89798944562765e-22,"maternal",FALSE
"8","Hippocampus","Mouse 1","Slide-seq","Rps18","Astrocyte",9.3068946387726,-1.62597836446395,0.174706862769254,1.31624352003815e-20,"paternal",FALSE
"9","Hippocampus","Mouse 1","Slide-seq","Ndrg2","Astrocyte",9.14912562429631,0.306708161785722,0.0335232211667563,5.73962131828815e-20,"maternal",FALSE
"10","Hippocampus","Mouse 1","Slide-seq","Rpl35a","Astrocyte",8.03776534183306,-4.05218243446623,0.504142913127408,9.14916246195194e-16,"paternal",FALSE
"11","Hippocampus","Mouse 1","Slide-seq","Rps19","Astrocyte",7.62972874547456,-2.29474159111383,0.300763194559821,2.35248167716706e-14,"paternal",FALSE
"12","Hippocampus","Mouse 1","Slide-seq","Cd81","Astrocyte",7.60208537873834,-0.570402555956671,0.0750323796088879,2.91396370412527e-14,"paternal",FALSE
"13","Hippocampus","Mouse 1","Slide-seq","Serinc1","Astrocyte",7.4929985690349,1.00455981259127,0.134066462623209,6.73176350954249e-14,"maternal",FALSE
"14","Hippocampus","Mouse 1","Slide-seq","Rpsa","Astrocyte",7.45382892876857,0.9781145790106,0.131223105380846,9.06695506278988e-14,"maternal",FALSE
"15","Hippocampus","Mouse 1","Slide-seq","Ndufs5","Astrocyte",7.26955049908799,-0.794773484771507,0.109329109808263,3.60685670895717e-13,"paternal",FALSE
"16","Hippocampus","Mouse 1","Slide-seq","Rpl9","Astrocyte",7.18987402765285,2.34341025260443,0.325932032131784,6.48511284603213e-13,"maternal",FALSE
"17","Hippocampus","Mouse 1","Slide-seq","2900052N01Rik","Astrocyte",7.11774643921888,-1.56650432500957,0.220084311570599,1.09705951989772e-12,"paternal",FALSE
"18","Hippocampus","Mouse 1","Slide-seq","Dbi","Astrocyte",7.09837355141416,0.507963479218357,0.071560544896536,1.26233607968471e-12,"maternal",FALSE
"19","Hippocampus","Mouse 1","Slide-seq","Rpl21","Astrocyte",6.83959141679413,-0.535546661698721,0.0783009728305882,7.94193654093928e-12,"paternal",FALSE
"20","Hippocampus","Mouse 1","Slide-seq","Rps9","Astrocyte",6.77055375235514,-0.859457992459486,0.126940575896103,1.28290408264877e-11,"paternal",FALSE
"21","Hippocampus","Mouse 1","Slide-seq","Saraf","Astrocyte",6.71152638340762,1.03514359200201,0.154233706740856,1.9259896045531e-11,"maternal",FALSE
"22","Hippocampus","Mouse 1","Slide-seq","Pisd","Astrocyte",6.44871012969986,-1.10388159202012,0.171178665162221,1.12806080738188e-10,"paternal",FALSE
"23","Hippocampus","Mouse 1","Slide-seq","Prnp","Astrocyte",6.43018620473372,0.599068322924131,0.0931650039128127,1.27447724173746e-10,"maternal",FALSE
"24","Hippocampus","Mouse 1","Slide-seq","Sdc4","Astrocyte",6.39277937448155,-0.651216003843193,0.10186742975093,1.6289722328863e-10,"paternal",FALSE
"25","Hippocampus","Mouse 1","Slide-seq","Pdhb","Astrocyte",6.36253721023066,-1.18031207226075,0.185509653344402,1.98447940804336e-10,"paternal",FALSE
"26","Hippocampus","Mouse 1","Slide-seq","Rpl23a","Astrocyte",6.24103919918647,1.86448384029025,0.298745734609917,4.34673289692274e-10,"maternal",FALSE
"27","Hippocampus","Mouse 1","Slide-seq","Rps15","Astrocyte",6.12925624470329,-1.5155225301892,0.247260429272943,8.82908293187254e-10,"paternal",FALSE
"28","Hippocampus","Mouse 1","Slide-seq","Ndufa12","Astrocyte",6.01865305945065,-1.06964627543831,0.177721869805858,1.7587436565611e-09,"paternal",FALSE
"29","Hippocampus","Mouse 1","Slide-seq","Tubb2a","Astrocyte",5.82228220436102,0.495233868918538,0.0850583760003245,5.80494214689733e-09,"maternal",FALSE
