"","tissue","sample","technology","gene","totalUMI","totalSpots","chisq.p","qval","xchr"
"1","Hippocampus","Mouse 1","Slide-seq","Araf",914,856,8.74804087906966e-05,0.00572376808116048,TRUE
"2","Hippocampus","Mouse 1","Slide-seq","Arhgef9",1933,1630,8.29336599394992e-14,3.56780605059725e-11,TRUE
"3","Hippocampus","Mouse 1","Slide-seq","Armcx3",683,634,2.79849214724903e-05,0.00211176518369877,TRUE
"4","Hippocampus","Mouse 1","Slide-seq","Atp1a2",9734,6611,8.78123415519738e-05,0.00572376808116048,FALSE
"5","Hippocampus","Mouse 1","Slide-seq","Atrx",2433,1967,5.55111512312578e-16,3.98014954328119e-13,TRUE
"6","Hippocampus","Mouse 1","Slide-seq","Bex2",1619,1439,8.40082521769148e-07,0.000106295147313261,TRUE
"7","Hippocampus","Mouse 1","Slide-seq","Chgb",8029,4048,5.08284647704471e-09,7.80943055151655e-07,FALSE
"8","Hippocampus","Mouse 1","Slide-seq","Cpe",24998,13925,1.17268861288267e-10,2.10204433859218e-08,FALSE
"9","Hippocampus","Mouse 1","Slide-seq","Crym",1277,976,2.05337180780862e-06,0.000232463303084018,FALSE
"10","Hippocampus","Mouse 1","Slide-seq","Fam193a",669,643,2.55451215736002e-12,6.10528405609045e-10,FALSE
"11","Hippocampus","Mouse 1","Slide-seq","Fgf13",1016,930,9.25322394850214e-05,0.00576689782458006,TRUE
"12","Hippocampus","Mouse 1","Slide-seq","Gap43",3094,2445,3.23295200299611e-06,0.000331146655164031,FALSE
"13","Hippocampus","Mouse 1","Slide-seq","Gpm6b",2478,2230,2.83746416362973e-08,3.81461588497972e-06,TRUE
"14","Hippocampus","Mouse 1","Slide-seq","Gprasp1",2740,2250,1.67895697344989e-11,3.28312404535519e-09,TRUE
"15","Hippocampus","Mouse 1","Slide-seq","Ids",1068,985,1.54876111935209e-13,5.55230861287725e-11,TRUE
"16","Hippocampus","Mouse 1","Slide-seq","Maged1",1407,1278,1.1353943452086e-08,1.62815549102913e-06,TRUE
"17","Hippocampus","Mouse 1","Slide-seq","Magee1",1758,1501,4.21864902611091e-06,0.000412468820689299,TRUE
"18","Hippocampus","Mouse 1","Slide-seq","Mageh1",706,667,3.26398442548337e-05,0.00234027683307158,TRUE
"19","Hippocampus","Mouse 1","Slide-seq","Malat1",74758,13799,5.46197899875533e-06,0.00051081377505751,FALSE
"20","Hippocampus","Mouse 1","Slide-seq","Map1b",15423,7786,9.50752990036552e-06,0.000818027872627449,FALSE
"21","Hippocampus","Mouse 1","Slide-seq","Meg3",18811,5992,1.32303554356561e-06,0.00015810274745609,FALSE
"22","Hippocampus","Mouse 1","Slide-seq","Nrip3",4390,3224,1.11022302462516e-16,1.19404486298436e-13,FALSE
"23","Hippocampus","Mouse 1","Slide-seq","Nrsn1",5749,4592,1.35766842213059e-10,2.24641905846376e-08,FALSE
"24","Hippocampus","Mouse 1","Slide-seq","Pcsk1n",3558,3190,1.48840939573347e-11,3.20156861022269e-09,TRUE
"25","Hippocampus","Mouse 1","Slide-seq","Plp1",20975,6188,2.62418073415649e-06,0.00028223063795853,TRUE
"26","Hippocampus","Mouse 1","Slide-seq","Prps1",903,813,4.8438188308908e-05,0.00336098525975681,TRUE
"27","Hippocampus","Mouse 1","Slide-seq","Ptgds",2556,1487,3.76365605347928e-14,2.02390604275848e-11,FALSE
"28","Hippocampus","Mouse 1","Slide-seq","Rgs4",2809,2185,1.56097357262297e-12,4.79664879244573e-10,FALSE
"29","Hippocampus","Mouse 1","Slide-seq","Rprm",1146,834,2.53623650596779e-05,0.00202053508308768,FALSE
"30","Hippocampus","Mouse 1","Slide-seq","Rps4x",2954,2632,2.84710322302484e-05,0.00211176518369877,TRUE
"31","Hippocampus","Mouse 1","Slide-seq","Sparcl1",20513,12297,1.12248903920698e-05,0.000928643816667001,FALSE
"32","Hippocampus","Mouse 1","Slide-seq","Sst",1476,790,1.86317627992594e-12,5.00961522265087e-10,FALSE
"33","Hippocampus","Mouse 1","Slide-seq","Tceal3",1557,1336,9.38360873362631e-05,0.00576689782458006,TRUE
"34","Hippocampus","Mouse 1","Slide-seq","Tceal5",2189,1848,6.05483425519804e-06,0.000542664520122124,TRUE
"35","Hippocampus","Mouse 1","Slide-seq","Tceal6",1328,1170,0.000142295574872775,0.00811022860982004,TRUE
"36","Hippocampus","Mouse 1","Slide-seq","Tspan7",10343,7347,0,0,TRUE
"37","Hippocampus","Mouse 1","Slide-seq","Uba1",2277,1979,0.000143276934994496,0.00811022860982004,TRUE
"38","Hippocampus","Mouse 1","Slide-seq","Xist",557,468,0.000107819447981106,0.00644221201687106,TRUE
"39","Hippocampus","Mouse 2","Slide-seq","Ptgds",936,659,1.02349210651109e-06,0.000596695898095967,FALSE
"40","Hippocampus","Mouse 3","Slide-seq","2310058D17Rik",561,531,4.12825723949961e-06,0.000417043725912059,FALSE
"41","Hippocampus","Mouse 3","Slide-seq","A830018L16Rik",1941,1589,1.11022302462516e-16,5.73245155048123e-14,FALSE
"42","Hippocampus","Mouse 3","Slide-seq","Actr2",9199,6957,8.38232416811024e-09,1.69359393083514e-06,FALSE
"43","Hippocampus","Mouse 3","Slide-seq","Akap5",205144,69016,1.94733118519252e-13,6.96096001353051e-11,FALSE
"44","Hippocampus","Mouse 3","Slide-seq","Aldh1a1",5486,4277,9.82696609641565e-08,1.42705973281386e-05,FALSE
"45","Hippocampus","Mouse 3","Slide-seq","Ap3m2",2905,2365,0.0001048984830474,0.00727557090628757,FALSE
"46","Hippocampus","Mouse 3","Slide-seq","Bok",2850,2456,1.10729576618951e-08,2.027037012793e-06,FALSE
"47","Hippocampus","Mouse 3","Slide-seq","Calb1",1692,1413,2.92583846039918e-10,7.55353962526388e-08,FALSE
"48","Hippocampus","Mouse 3","Slide-seq","Car12",535,427,1.37851430270786e-09,3.2029779823417e-07,FALSE
"49","Hippocampus","Mouse 3","Slide-seq","Cck",15978,10779,3.48879372058519e-08,5.6248601398703e-06,FALSE
"50","Hippocampus","Mouse 3","Slide-seq","Ccng1",2304,1949,7.24920878880653e-09,1.53123060189018e-06,FALSE
"51","Hippocampus","Mouse 3","Slide-seq","Cdo1",1031,862,2.71142138608127e-06,0.000286363072298174,FALSE
"52","Hippocampus","Mouse 3","Slide-seq","Chgb",18943,9717,0,0,FALSE
"53","Hippocampus","Mouse 3","Slide-seq","Chst2",9417,7028,1.88729296302093e-07,2.57948541151713e-05,FALSE
"54","Hippocampus","Mouse 3","Slide-seq","Cnih3",767,675,8.88030885493052e-08,1.33118694351168e-05,FALSE
"55","Hippocampus","Mouse 3","Slide-seq","Cpe",57644,33679,1.13412873536944e-08,2.027037012793e-06,FALSE
"56","Hippocampus","Mouse 3","Slide-seq","Efhd2",4500,3747,2.52110426957053e-05,0.00216955028531375,FALSE
"57","Hippocampus","Mouse 3","Slide-seq","Elp6",2697,2539,6.82514809261514e-05,0.00511021942662968,FALSE
"58","Hippocampus","Mouse 3","Slide-seq","Etv1",2226,1706,4.68178986356982e-07,6.21607928457399e-05,FALSE
"59","Hippocampus","Mouse 3","Slide-seq","Gaa",4541,3559,3.5102419637667e-08,5.6248601398703e-06,FALSE
"60","Hippocampus","Mouse 3","Slide-seq","Gabarapl2",20751,14272,7.89484352999859e-05,0.00564420582829283,FALSE
"61","Hippocampus","Mouse 3","Slide-seq","Gng2",3442,2772,5.26159157823169e-05,0.00407510267734045,FALSE
"62","Hippocampus","Mouse 3","Slide-seq","Grb14",2712,2235,5.81186210268925e-11,1.80051487941313e-08,FALSE
"63","Hippocampus","Mouse 3","Slide-seq","Gstm7",1200,1067,1.2134737659153e-13,5.12637508200762e-11,FALSE
"64","Hippocampus","Mouse 3","Slide-seq","Hhatl",551,483,0.000137389610234906,0.00886735442724455,FALSE
"65","Hippocampus","Mouse 3","Slide-seq","Hs3st4",3624,2718,7.02273573052192e-05,0.00511021942662968,FALSE
"66","Hippocampus","Mouse 3","Slide-seq","Igfbp4",2913,1914,5.80067098415737e-05,0.00441897017432448,FALSE
"67","Hippocampus","Mouse 3","Slide-seq","Itpr1",3610,3005,5.56598894796423e-06,0.000550322354067867,FALSE
"68","Hippocampus","Mouse 3","Slide-seq","Lmo7",2310,1799,4.49145690188946e-05,0.00359858624535867,FALSE
"69","Hippocampus","Mouse 3","Slide-seq","Lypd1",2188,1694,3.33066907387547e-16,1.54776191862993e-13,FALSE
"70","Hippocampus","Mouse 3","Slide-seq","Msh2",1650,1317,9.25868022094711e-06,0.000896355978890442,FALSE
