"","tissue","sample","technology","gene","totalUMI","totalSpots","chisq.p","qval","xchr"
"71","Hippocampus","Mouse 3","Slide-seq","Myo5b",1569,1244,2.86290849482729e-06,0.000295643017232498,FALSE
"72","Hippocampus","Mouse 3","Slide-seq","Napa",7728,5947,0.000116667482994326,0.00785730135470482,FALSE
"73","Hippocampus","Mouse 3","Slide-seq","Ncald",17154,10643,5.11708579731263e-07,6.60530491669772e-05,FALSE
"74","Hippocampus","Mouse 3","Slide-seq","Nefl",18483,11756,1.15988011084589e-07,1.63332208336389e-05,FALSE
"75","Hippocampus","Mouse 3","Slide-seq","Nrip3",12604,8566,0,0,FALSE
"76","Hippocampus","Mouse 3","Slide-seq","Nrsn1",11346,8697,1.49075196631543e-11,4.94823170533414e-09,FALSE
"77","Hippocampus","Mouse 3","Slide-seq","Nudt4",9362,6895,6.70077414888226e-07,8.41581012698807e-05,FALSE
"78","Hippocampus","Mouse 3","Slide-seq","Pantr1",5595,4491,0.000128309764322432,0.00851793535437629,FALSE
"79","Hippocampus","Mouse 3","Slide-seq","Pcp4l1",14547,9632,1.89515070303514e-13,6.96096001353051e-11,FALSE
"80","Hippocampus","Mouse 3","Slide-seq","Ppp3ca",40672,15283,2.74765097301177e-05,0.00228005965564031,FALSE
"81","Hippocampus","Mouse 3","Slide-seq","Prkcq",1571,1097,1.76082645194642e-05,0.00157356933119135,FALSE
"82","Hippocampus","Mouse 3","Slide-seq","Ptgds",5036,3478,0,0,FALSE
"83","Hippocampus","Mouse 3","Slide-seq","Rasgrf1",4725,3644,0,0,FALSE
"84","Hippocampus","Mouse 3","Slide-seq","Rasgrp1",12155,7922,1.12789300121818e-09,2.75858882982152e-07,FALSE
"85","Hippocampus","Mouse 3","Slide-seq","Resp18",4320,3397,2.00798379301759e-06,0.000217002341538435,FALSE
"86","Hippocampus","Mouse 3","Slide-seq","Rgs4",6557,4876,0.000116181104471647,0.00785730135470482,FALSE
"87","Hippocampus","Mouse 3","Slide-seq","Rhpn2",903,823,9.54184375956402e-09,1.84753949794558e-06,FALSE
"88","Hippocampus","Mouse 3","Slide-seq","Ripor2",900,781,1.17321866756059e-05,0.00111264227513349,FALSE
"89","Hippocampus","Mouse 3","Slide-seq","Rprm",2665,1799,1.36447614318413e-08,2.34841505088025e-06,FALSE
"90","Hippocampus","Mouse 3","Slide-seq","Rps20",38893,25086,7.03796090605335e-05,0.00511021942662968,FALSE
"91","Hippocampus","Mouse 3","Slide-seq","Rtn4",11655,8805,9.56147759034742e-05,0.00673214944884007,FALSE
"92","Hippocampus","Mouse 3","Slide-seq","Selenop",22301,15518,2.74090916629888e-09,6.06524042656709e-07,FALSE
"93","Hippocampus","Mouse 3","Slide-seq","Sema5a",1385,1125,1.40816262311771e-05,0.00128308464894667,FALSE
"94","Hippocampus","Mouse 3","Slide-seq","Slc35c2",949,832,3.75460505009917e-05,0.00306099116979138,FALSE
"95","Hippocampus","Mouse 3","Slide-seq","Snap25",48980,24116,4.6882033373663e-05,0.00369255608622732,FALSE
"96","Hippocampus","Mouse 3","Slide-seq","Snca",22252,11601,0,0,FALSE
"97","Hippocampus","Mouse 3","Slide-seq","Sostdc1",691,498,0.000135461354829891,0.00886604106893667,FALSE
"98","Hippocampus","Mouse 3","Slide-seq","Sparcl1",42384,26994,1.92220461769921e-10,5.25440285791072e-08,FALSE
"99","Hippocampus","Mouse 3","Slide-seq","Sphkap",2162,1772,1.59258721499356e-06,0.000180506165562806,FALSE
"100","Hippocampus","Mouse 3","Slide-seq","Spon1",2030,1638,1.66180180727338e-10,4.82649562399962e-08,FALSE
"101","Hippocampus","Mouse 3","Slide-seq","Sst",7103,3988,0,0,FALSE
"102","Hippocampus","Mouse 3","Slide-seq","Stmn1",73015,34189,0,0,FALSE
"103","Hippocampus","Mouse 3","Slide-seq","Stum",3994,3209,8.03743255062273e-07,9.82893396387995e-05,FALSE
"104","Hippocampus","Mouse 3","Slide-seq","Synpr",1043,873,1.31009697461604e-05,0.00121760412820815,FALSE
"105","Hippocampus","Mouse 3","Slide-seq","Syt13",6013,4674,6.09466114243062e-08,9.44063010962504e-06,FALSE
"106","Hippocampus","Mouse 3","Slide-seq","Tbl3",789,667,1.68414794321503e-06,0.000186338940288577,FALSE
"107","Hippocampus","Mouse 3","Slide-seq","Thrsp",1510,1278,1.31406652670307e-06,0.000152661678739729,FALSE
"108","Hippocampus","Mouse 3","Slide-seq","Trim9",2103,1745,2.64101284516149e-05,0.00223141576208463,FALSE
"109","Hippocampus","Mouse 3","Slide-seq","Tunar",1137,967,2.07876547865249e-05,0.00182264588288644,FALSE
"110","Hippocampus","Mouse 3","Slide-seq","Uchl1",39014,22309,0,0,FALSE
"111","Hippocampus","Mouse 3","Slide-seq","Zfp365",6206,5200,1.27194883714488e-06,0.000151557596056724,FALSE
"112","Cerebellum","Mouse 3","Slide-seq","Atrx",5135,3956,8.44897599328043e-06,0.00208422897265818,TRUE
"113","Cerebellum","Mouse 3","Slide-seq","Bex2",9740,7557,9.6101016033856e-11,7.50709103584472e-08,TRUE
"114","Cerebellum","Mouse 3","Slide-seq","Bex3",13110,9208,2.49078646596956e-10,1.66775945228562e-07,TRUE
"115","Cerebellum","Mouse 3","Slide-seq","Cdk16",3790,3369,1.78600815348151e-05,0.0034879250897366,TRUE
"116","Cerebellum","Mouse 3","Slide-seq","Cdr1",2375,2062,1.20105347889421e-09,6.25481961730796e-07,TRUE
"117","Cerebellum","Mouse 3","Slide-seq","Fam98b",3943,3442,0,0,FALSE
"118","Cerebellum","Mouse 3","Slide-seq","Gprasp1",3621,2979,1.17543106805673e-05,0.00252418100553601,TRUE
"119","Cerebellum","Mouse 3","Slide-seq","Htatsf1",1376,1162,5.10745823412151e-09,2.39386567433275e-06,TRUE
"120","Cerebellum","Mouse 3","Slide-seq","Idh3g",8138,6271,1.13589831207683e-07,4.09535029900317e-05,TRUE
"121","Cerebellum","Mouse 3","Slide-seq","Lpar1",1455,1147,1.18480866485582e-05,0.00252418100553601,FALSE
"122","Cerebellum","Mouse 3","Slide-seq","Mageh1",3565,2784,5.55395137735726e-06,0.00153125706503962,TRUE
"123","Cerebellum","Mouse 3","Slide-seq","Meg3",30546,16445,0,0,FALSE
"124","Cerebellum","Mouse 3","Slide-seq","Ncald",2452,1941,3.82767373352522e-10,2.24253834862909e-07,FALSE
"125","Cerebellum","Mouse 3","Slide-seq","Ndrg2",95666,41546,1.2565601889003e-06,0.00042067840038398,FALSE
"126","Cerebellum","Mouse 3","Slide-seq","Ndufb11",14944,10656,2.06530711344133e-06,0.000605005902543719,TRUE
"127","Cerebellum","Mouse 3","Slide-seq","Plp1",18166,6919,3.54050122552962e-12,3.31886584881147e-09,TRUE
"128","Cerebellum","Mouse 3","Slide-seq","Psat1",1589,1316,1.04436710413047e-05,0.00244747430852976,FALSE
"129","Cerebellum","Mouse 3","Slide-seq","Ptgds",7051,3789,0,0,FALSE
"130","Cerebellum","Mouse 3","Slide-seq","Rpl7a",7098,5802,7.210367765631e-06,0.00187749965097292,FALSE
"131","Cerebellum","Mouse 3","Slide-seq","Rps4x",13114,9825,0,0,TRUE
"132","Cerebellum","Mouse 3","Slide-seq","Shank1",3648,3096,2.07681185486752e-05,0.00389360686550563,FALSE
"133","Cerebellum","Mouse 3","Slide-seq","Synrg",3529,3184,3.71922565455263e-05,0.00670461947803391,FALSE
"134","Cerebellum","Mouse 3","Slide-seq","Tceal3",10169,7318,2.05846159007095e-08,8.04000789388544e-06,TRUE
"135","Cerebellum","Mouse 3","Slide-seq","Tspan7",12042,9343,1.06160404911293e-08,4.52339834381118e-06,TRUE
"136","Cerebellum","Mouse 3","Slide-seq","Uba1",8372,6287,1.7191047206877e-06,0.000537162921724218,TRUE
"137","Cerebellum","Mouse 3","Slide-seq","Xist",1802,1490,1.33738706681319e-05,0.00272536225311018,TRUE
"138","Cerebellum","Mouse 4","Visium","Meg3",5865,2258,1.07080884904631e-05,0.00791863143869748,FALSE
"139","Cerebellum","Mouse 4","Visium","Rps8",5576,2260,2.828662790888e-06,0.00418359226772336,FALSE
