"","tissue","sample","technology","gene","totalUMI","totalCells","p","ci.low","ci.high","z","pval","qval","bias","xchr"
"1","Hippocampus","Mouse 1","Slide-seq","0610012G03Rik",182,179,0.357176913535371,0.289670223172405,0.430872946000695,-3.79920701028019,7.25799039752812e-05,0.000437184569706061,"paternal",FALSE
"2","Hippocampus","Mouse 1","Slide-seq","1110032A03Rik",637,579,0.190491529701108,0.160700919867716,0.224328624482918,-14.0329891578695,4.896752353061e-45,2.80350957533987e-43,"paternal",FALSE
"3","Hippocampus","Mouse 1","Slide-seq","1110032F04Rik",209,201,0.350143397842602,0.286508225946379,0.419600343180554,-4.20693925150642,1.29426343958722e-05,9.19550783523598e-05,"paternal",FALSE
"4","Hippocampus","Mouse 1","Slide-seq","1500011B03Rik",1126,1026,0.356579104417965,0.327668608635945,0.386573753509581,-9.18625956023502,2.03369457613602e-20,5.35388255155094e-19,"paternal",FALSE
"5","Hippocampus","Mouse 1","Slide-seq","1700120C14Rik",155,154,0.935063006900857,0.892640584656213,0.961446465774239,9.71311867130251,1.32549596944091e-22,3.72041555699738e-21,"maternal",FALSE
"6","Hippocampus","Mouse 1","Slide-seq","1810058I24Rik",281,266,0.631897642264874,0.57146469096297,0.688454362028645,4.27950575948817,9.36543955856018e-06,6.81827124405301e-05,"maternal",FALSE
"7","Hippocampus","Mouse 1","Slide-seq","2210016L21Rik",1557,1385,0.552076362281047,0.526125701167413,0.577746452049286,4.0025371695283,3.13334094016162e-05,0.000202183328770957,"low_bias",FALSE
"8","Hippocampus","Mouse 1","Slide-seq","2310022B05Rik",1038,956,0.450831630359387,0.419568194470922,0.482488159796293,-3.10152021534505,0.000962648630490718,0.00432678275457604,"low_bias",FALSE
"9","Hippocampus","Mouse 1","Slide-seq","2510002D24Rik",447,404,0.416034164932941,0.36838652882186,0.465304519664259,-3.38956836018653,0.000350013763112418,0.00179950406370874,"low_bias",FALSE
"10","Hippocampus","Mouse 1","Slide-seq","2900027M19Rik",246,228,0.597537758022441,0.533748247283393,0.658188923702047,3.03991829329,0.00118321169044756,0.0051642431321119,"low_bias",FALSE
"11","Hippocampus","Mouse 1","Slide-seq","2900052N01Rik",646,605,0.187182495689007,0.15799837692971,0.2203465596179,-14.3418411753073,5.99167775441553e-47,3.79923910943961e-45,"paternal",FALSE
"12","Hippocampus","Mouse 1","Slide-seq","3300002P13Rik",258,244,0.391466630848938,0.332014392355694,0.454324039499831,-3.4206162667042,0.000312397112812621,0.0016360619664796,"paternal",FALSE
"13","Hippocampus","Mouse 1","Slide-seq","4933434E20Rik",259,254,0.299175782161525,0.245032306844695,0.359584796221758,-6.21198718789914,2.61593469658428e-10,3.48220471913261e-09,"paternal",FALSE
"14","Hippocampus","Mouse 1","Slide-seq","4933439C10Rik",220,205,0.343670815292808,0.280850585046448,0.41248303106249,-4.41219560502935,5.11638005567649e-06,3.90314271517778e-05,"paternal",FALSE
"15","Hippocampus","Mouse 1","Slide-seq","5730409E04Rik",1656,1422,0.428015793478789,0.40283443890418,0.453575643602563,-5.59117615974347,1.12768308812189e-08,1.28625670612278e-07,"low_bias",FALSE
"16","Hippocampus","Mouse 1","Slide-seq","9330102E08Rik",178,171,0.327523275171781,0.260129940259711,0.402869388227871,-4.41510689491707,5.04800445017905e-06,3.85596920242304e-05,"paternal",FALSE
"17","Hippocampus","Mouse 1","Slide-seq","9330162G02Rik",524,374,0.0786073241764597,0.0563770404942707,0.108594548862953,-13.8187676368786,9.82017086710982e-44,5.51519500984253e-42,"paternal",FALSE
"18","Hippocampus","Mouse 1","Slide-seq","9430015G10Rik",170,158,0.641622409008959,0.563422578528203,0.712951346707775,3.55836426876547,0.00018658577320214,0.0010321728935957,"maternal",FALSE
"19","Hippocampus","Mouse 1","Slide-seq","9530068E07Rik",652,619,0.441063396503368,0.40188219747182,0.48099262757424,-2.9462064363045,0.0016084881068136,0.00676438975956977,"low_bias",FALSE
"20","Hippocampus","Mouse 1","Slide-seq","A2ml1",205,191,0.155598727126432,0.110836222124221,0.214086436493939,-8.65404002649566,2.48538818913765e-18,5.93373852281162e-17,"paternal",FALSE
"21","Hippocampus","Mouse 1","Slide-seq","A430073D23Rik",330,318,0.857481442059379,0.814557345171546,0.891789864770167,11.4072891864468,1.92263357384275e-30,7.6606555303721e-29,"maternal",FALSE
"22","Hippocampus","Mouse 1","Slide-seq","A830018L16Rik",976,847,0.672079570871581,0.639838101478476,0.70277554937136,10.0403600253207,5.06518666199623e-24,1.5162134896341e-22,"maternal",FALSE
"23","Hippocampus","Mouse 1","Slide-seq","A930005H10Rik",218,209,0.15788362146937,0.113697742083485,0.215074291127524,-8.82350943650593,5.54636704255315e-19,1.38003909071459e-17,"paternal",FALSE
"24","Hippocampus","Mouse 1","Slide-seq","AA465934",159,159,0.0503144656631733,0.0250030980942259,0.0986565249953154,-8.09772166941219,2.79990029018652e-16,5.91792545205372e-15,"paternal",FALSE
"25","Hippocampus","Mouse 1","Slide-seq","Aamdc",786,689,0.434115631126975,0.397455135287463,0.471511488819818,-3.51094921760641,0.000223254843568097,0.0012156360226418,"low_bias",FALSE
