"","tissue","sample","technology","gene","totalUMI","totalCells","p","ci.low","ci.high","z","pval","qval","bias","xchr"
"26","Hippocampus","Mouse 1","Slide-seq","Abat",1137,1035,0.451080731072955,0.42124006105717,0.481277454866976,-3.2345577717263,0.000609156351700555,0.00290161147494198,"low_bias",FALSE
"27","Hippocampus","Mouse 1","Slide-seq","Abca8b",177,166,0.324317594927878,0.256784156680876,0.400051834133341,-4.46538839239002,3.99618141052401e-06,3.10890260921637e-05,"paternal",FALSE
"28","Hippocampus","Mouse 1","Slide-seq","Abhd12",1521,1367,0.542708055768257,0.516552420467581,0.568630335353929,3.26141009214711,0.000554297911932775,0.00266614582925577,"low_bias",FALSE
"29","Hippocampus","Mouse 1","Slide-seq","Abhd17a",933,896,0.550911915184395,0.517711107150277,0.583665175931966,3.06192873575027,0.00109957901531325,0.00485127246374213,"low_bias",FALSE
"30","Hippocampus","Mouse 1","Slide-seq","Abl2",171,162,0.682433300034827,0.605588829068986,0.750474868628863,4.55113667922042,2.66784355978431e-06,2.14336150845342e-05,"maternal",FALSE
"31","Hippocampus","Mouse 1","Slide-seq","Ablim1",1086,949,0.582207499888284,0.550453533653085,0.613294235306602,5.13136494365744,1.43824291462319e-07,1.39038007664475e-06,"low_bias",FALSE
"32","Hippocampus","Mouse 1","Slide-seq","Ablim3",378,338,0.585375343716093,0.531461637810196,0.637318880042984,3.15150567103988,0.000812155041853401,0.00373287473250936,"low_bias",FALSE
"33","Hippocampus","Mouse 1","Slide-seq","Abr",238,222,0.401529623623155,0.338590408723412,0.46789192693311,-2.95094798458897,0.00158400131420532,0.00667680897059957,"low_bias",FALSE
"34","Hippocampus","Mouse 1","Slide-seq","Acaca",432,409,0.423859217362691,0.375992907003168,0.473198238843862,-3.07502990491604,0.00105240723986641,0.00467441132368154,"low_bias",FALSE
"35","Hippocampus","Mouse 1","Slide-seq","Acbd6",598,559,0.435875995295223,0.394811399797337,0.477839365855584,-3.04837399284411,0.00115041691489781,0.0050363834796974,"low_bias",FALSE
"36","Hippocampus","Mouse 1","Slide-seq","Acin1",467,444,0.413727312894712,0.368525639384967,0.460430718742654,-3.66983761274928,0.000121352299241771,0.000700209891026149,"low_bias",FALSE
"37","Hippocampus","Mouse 1","Slide-seq","Aco2",1419,1315,0.580528501978242,0.553714280041009,0.60687547369306,5.94840789327487,1.35381589024127e-09,1.6950004893318e-08,"low_bias",FALSE
"38","Hippocampus","Mouse 1","Slide-seq","Acot11",139,133,0.350157088371074,0.27285969664955,0.436215463818457,-3.41805790217514,0.000315348439552641,0.00164859020216483,"paternal",FALSE
"39","Hippocampus","Mouse 1","Slide-seq","Acox1",652,617,0.43556160493811,0.396530534672136,0.475407956723686,-3.22487346759197,0.000630141785153984,0.00297752091911302,"low_bias",FALSE
"40","Hippocampus","Mouse 1","Slide-seq","Acsbg1",1352,1234,0.460352156231314,0.43288545159424,0.488061793773437,-2.85931194119632,0.00212280533239677,0.00854236116696236,"low_bias",FALSE
"41","Hippocampus","Mouse 1","Slide-seq","Acsl3",1554,1421,0.454334236539441,0.428643064126107,0.480270889112059,-3.51526424976253,0.00021965830864526,0.00119826553754033,"low_bias",FALSE
"42","Hippocampus","Mouse 1","Slide-seq","Acsl4",235,220,NA,NA,NA,NA,NA,NA,"paternal",TRUE
"43","Hippocampus","Mouse 1","Slide-seq","Acsl5",257,236,0.402618166224475,0.342024225357828,0.466338698722385,-3.03842494104791,0.00118909170285264,0.00518261180467261,"low_bias",FALSE
"44","Hippocampus","Mouse 1","Slide-seq","Acss1",402,373,0.416218585852559,0.366371650228354,0.467840015079973,-3.22977412170387,0.000619440269102502,0.00294109441779183,"low_bias",FALSE
"45","Hippocampus","Mouse 1","Slide-seq","Actb",396,381,0.87623114849548,0.839130589751482,0.905736551318303,12.8156707332568,6.69874061779872e-38,3.37627977975718e-36,"maternal",FALSE
"46","Hippocampus","Mouse 1","Slide-seq","Actn1",234,225,0.349118490897304,0.288668598629655,0.414844627061705,-4.46626367302784,3.97987495885934e-06,3.10030682065965e-05,"paternal",FALSE
"47","Hippocampus","Mouse 1","Slide-seq","Actr10",672,638,0.56553833783705,0.526191401854786,0.604076341767864,3.32060181895556,0.000449117940269703,0.00223309316506782,"low_bias",FALSE
"48","Hippocampus","Mouse 1","Slide-seq","Actr2",958,861,0.450641625609069,0.418065988459613,0.483645976999968,-2.98672866272736,0.00140989936407586,0.00603789146692473,"low_bias",FALSE
"49","Hippocampus","Mouse 1","Slide-seq","Actr3b",1571,1298,0.461905433362794,0.435894920935555,0.488124998473972,-2.90351068157879,0.00184502191518008,0.00758723447267566,"low_bias",FALSE
"50","Hippocampus","Mouse 1","Slide-seq","Acvr1b",137,130,0.306476883540466,0.23373152673169,0.39033006465709,-4.40574214547206,5.27111553943104e-06,4.00048498533138e-05,"paternal",FALSE
"51","Hippocampus","Mouse 1","Slide-seq","Acyp2",485,458,0.573613859431882,0.527211199250592,0.618755598174123,3.16117701761563,0.000785664867463011,0.0036195825964292,"low_bias",FALSE
"52","Hippocampus","Mouse 1","Slide-seq","Adcy1",2161,1759,0.438230829579553,0.416155081794291,0.460553869149246,-5.50458435391177,1.85020126257926e-08,2.0470237983921e-07,"low_bias",FALSE
"53","Hippocampus","Mouse 1","Slide-seq","Adh5",1029,938,0.44823236206961,0.416457059301165,0.480436039801503,-3.20902031635412,0.00066594040297858,0.00311918233229919,"low_bias",FALSE
"54","Hippocampus","Mouse 1","Slide-seq","Adi1",1996,1657,0.423441260761913,0.400475267979735,0.446742882488373,-6.51029979273887,3.75004846229783e-11,5.48735379210181e-10,"low_bias",FALSE
"55","Hippocampus","Mouse 1","Slide-seq","Adipor1",330,315,0.599116246725754,0.543501181240655,0.652290474333429,3.53467938406214,0.000204135105050382,0.00112084237847495,"low_bias",FALSE
"56","Hippocampus","Mouse 1","Slide-seq","Adipor2",495,455,0.405062277534183,0.361086206639131,0.450616770477589,-4.12824633897072,1.82770195512477e-05,0.000123753913887286,"low_bias",FALSE
"57","Hippocampus","Mouse 1","Slide-seq","Adora1",1505,1346,0.572593101350422,0.546686850994769,0.598107228111948,5.56253623892186,1.32940897275328e-08,1.50182465753373e-07,"low_bias",FALSE
"58","Hippocampus","Mouse 1","Slide-seq","Aen",192,184,0.331459450524764,0.266024000999075,0.404128210048743,-4.47874591967426,3.75414189253506e-06,2.93999664545541e-05,"paternal",FALSE
"59","Hippocampus","Mouse 1","Slide-seq","Afg3l1",402,374,0.586689487381741,0.53533547927476,0.636224634634685,3.35663925399768,0.000394479896620343,0.00199677935654091,"low_bias",FALSE
"60","Hippocampus","Mouse 1","Slide-seq","Afg3l2",476,449,0.390862641870122,0.34660960663129,0.43698694926374,-4.66332431675071,1.55570908492119e-06,1.29211499630708e-05,"paternal",FALSE
"61","Hippocampus","Mouse 1","Slide-seq","Agfg2",200,195,0.6503919735039,0.580072908455238,0.714726693973459,4.17053164448234,1.5194492570547e-05,0.0001052901559207,"maternal",FALSE
"62","Hippocampus","Mouse 1","Slide-seq","Ago2",228,217,0.679798191351795,0.615133946346332,0.73822134244755,5.30359236762129,5.67728546337375e-08,5.91500925397791e-07,"maternal",FALSE
"63","Hippocampus","Mouse 1","Slide-seq","Agpat4",798,717,0.439563245102178,0.403917364309738,0.475843674540438,-3.32254400579854,0.000446003001194909,0.00221947653843576,"low_bias",FALSE
"64","Hippocampus","Mouse 1","Slide-seq","Ahi1",1287,1090,0.585208603291318,0.556489376684302,0.61336022112616,5.87027319564968,2.1753880063296e-09,2.63956030315343e-08,"low_bias",FALSE
"65","Hippocampus","Mouse 1","Slide-seq","AI413582",482,461,0.586432148415176,0.540367546517221,0.631032398668107,3.72690694076972,9.69219939853968e-05,0.000574421104052146,"low_bias",FALSE
"66","Hippocampus","Mouse 1","Slide-seq","Aifm3",469,446,0.587567956060495,0.540713315395805,0.632887954296504,3.71168984253641,0.00010294008424523,0.000607645322116238,"low_bias",FALSE
"67","Hippocampus","Mouse 1","Slide-seq","Aip",171,169,0.1479143741009,0.101159826847513,0.21120063967008,-8.08147335276029,3.19944556611274e-16,6.66683056656072e-15,"paternal",FALSE
"68","Hippocampus","Mouse 1","Slide-seq","Ajm1",154,152,0.381593826729054,0.306463090345366,0.462851008796317,-2.89165671673801,0.00191608207204201,0.00786300346474027,"paternal",FALSE
"69","Hippocampus","Mouse 1","Slide-seq","Ak3",640,605,0.375550010435267,0.337643002445128,0.415046049802977,-6.15086552916741,3.85306180144451e-10,5.04922343180407e-09,"paternal",FALSE
"70","Hippocampus","Mouse 1","Slide-seq","Akr1b3",239,233,0.635162671468739,0.570096950159758,0.695638165372305,4.07394933717886,2.31112704136289e-05,0.00015364956215239,"maternal",FALSE
"71","Hippocampus","Mouse 1","Slide-seq","Akr1e1",138,134,0.376800842334399,0.297805003705712,0.462936481985034,-2.83765901430974,0.00227228518050783,0.00904771486121181,"paternal",FALSE
"72","Hippocampus","Mouse 1","Slide-seq","Akt1",329,317,0.736848171363647,0.684628671934548,0.783159710732468,8.09076730163022,2.96450155713515e-16,6.22123333894164e-15,"maternal",FALSE
"73","Hippocampus","Mouse 1","Slide-seq","Akt3",308,291,0.606860772935486,0.548897664285535,0.661962788324182,3.64945887750751,0.0001313966514506,0.000752277721945812,"maternal",FALSE
"74","Hippocampus","Mouse 1","Slide-seq","Alad",437,412,0.338155863207578,0.293488396144848,0.385908226154643,-6.48882479160287,4.32542484649984e-11,6.28251978320432e-10,"paternal",FALSE
"75","Hippocampus","Mouse 1","Slide-seq","Aldh1a1",1135,1007,0.338372658908046,0.30984389208264,0.368127087768888,-10.2929015560389,3.79277190817273e-25,1.2024718248653e-23,"paternal",FALSE
"76","Hippocampus","Mouse 1","Slide-seq","Aldh4a1",133,128,0.679679547290208,0.592249977915395,0.756083254916426,3.96965633770557,3.59881842356697e-05,0.000228441681849025,"maternal",FALSE
"77","Hippocampus","Mouse 1","Slide-seq","Aldh5a1",719,674,0.555461148786675,0.517125534068281,0.59314776305197,2.88864597306602,0.00193452201712641,0.00792764165044784,"low_bias",FALSE
"78","Hippocampus","Mouse 1","Slide-seq","Aldh7a1",319,307,0.581792610074816,0.524855513078644,0.636630477026524,2.8628798105813,0.00209904887560693,0.00847814467085893,"low_bias",FALSE
"79","Hippocampus","Mouse 1","Slide-seq","Aldh9a1",289,275,0.292120672823046,0.240536461034727,0.349673954554869,-6.68928969971879,1.12128199528021e-11,1.71300516221953e-10,"paternal",FALSE
"80","Hippocampus","Mouse 1","Slide-seq","Aldoc",14236,9103,0.429323513762616,0.420608620358397,0.438082446788246,-15.9608549798753,1.19714448478419e-57,9.53994733347615e-56,"low_bias",FALSE
"81","Hippocampus","Mouse 1","Slide-seq","Amd1",303,287,0.973029767276224,0.946598845059108,0.986564374685383,10.0914431462612,3.01383695992189e-24,9.13522000014353e-23,"maternal",FALSE
"82","Hippocampus","Mouse 1","Slide-seq","Amer2",478,446,0.57989841712244,0.533021493588158,0.625376953235455,3.39183492383858,0.000347131271524119,0.00178624180469261,"low_bias",FALSE
"83","Hippocampus","Mouse 1","Slide-seq","Amfr",565,540,0.395786138276515,0.354842573050515,0.438244857467557,-4.84138085648903,6.44699877842218e-07,5.72559515005356e-06,"paternal",FALSE
"84","Hippocampus","Mouse 1","Slide-seq","Ank",580,561,0.58340044334601,0.541469796688956,0.624158206971758,3.95042321166075,3.90065623018786e-05,0.000246804396882165,"low_bias",FALSE
"85","Hippocampus","Mouse 1","Slide-seq","Ankrd12",3678,2921,0.388861952903126,0.371780838424049,0.406220389684702,-12.474075790818,5.1699464793749e-36,2.51960118916312e-34,"paternal",FALSE
"86","Hippocampus","Mouse 1","Slide-seq","Ankrd16",222,210,0.679520840887319,0.61252397604564,0.73985348828983,5.11905397328708,1.53536040103308e-07,1.47459613760457e-06,"maternal",FALSE
"87","Hippocampus","Mouse 1","Slide-seq","Ankrd26",420,355,0.387821400755181,0.338273415133578,0.43980331810289,-4.25584227072269,1.04131747391017e-05,7.5160944230701e-05,"paternal",FALSE
"88","Hippocampus","Mouse 1","Slide-seq","Anks1b",1353,1222,0.57958690344991,0.552151637371034,0.606539132233075,5.74842672387102,4.50388340124446e-09,5.30127752837097e-08,"low_bias",FALSE
"89","Hippocampus","Mouse 1","Slide-seq","Anxa5",1388,1264,0.382400772854813,0.356006187982817,0.409507894358434,-8.4567099165362,1.37513475005752e-17,3.13095352165606e-16,"paternal",FALSE
"90","Hippocampus","Mouse 1","Slide-seq","Anxa6",375,359,0.398477419962685,0.348644716630122,0.45050645118982,-3.86337011773376,5.59166833070846e-05,0.000343479876522789,"paternal",FALSE
"91","Hippocampus","Mouse 1","Slide-seq","Anxa7",512,482,0.363434532053271,0.321287235230297,0.407788854110844,-5.98254774105471,1.09837046795614e-09,1.38695731253477e-08,"paternal",FALSE
"92","Hippocampus","Mouse 1","Slide-seq","Ap1b1",328,322,0.356353368337076,0.304997902924048,0.411239410506886,-5.08838572480981,1.80562141411994e-07,1.72293680891024e-06,"paternal",FALSE
"93","Hippocampus","Mouse 1","Slide-seq","Ap2s1",424,408,0.43063884280279,0.383041588433881,0.479553336704611,-2.82904710894383,0.00233434130864879,0.00924486950779176,"low_bias",FALSE
"94","Hippocampus","Mouse 1","Slide-seq","Ap3b1",312,296,0.40043541274751,0.345529298039173,0.457961217173904,-3.43389508917891,0.000297487212766726,0.00156632329793338,"low_bias",FALSE
"95","Hippocampus","Mouse 1","Slide-seq","Ap3m2",1392,1231,0.553698931273985,0.526029913905826,0.581039180123284,3.87075915719971,5.42484723252581e-05,0.000333928226828859,"low_bias",FALSE
"96","Hippocampus","Mouse 1","Slide-seq","Aph1b",202,191,0.395882912690124,0.327893140379379,0.468150806491491,-2.86464335245101,0.00208739572369415,0.00844264237491387,"paternal",FALSE
"97","Hippocampus","Mouse 1","Slide-seq","Apln",403,378,0.60181888255266,0.550628584217304,0.650875181495838,3.93682710667971,4.12830242987977e-05,0.000259537307345426,"maternal",TRUE
"98","Hippocampus","Mouse 1","Slide-seq","Apobec3",249,236,0.983056757620323,0.970683125697074,0.990260311888178,14.4780046820073,8.34356400424745e-48,5.46688854811635e-46,"maternal",FALSE
"99","Hippocampus","Mouse 1","Slide-seq","Apod",1365,980,0.999267439368225,0.994572166511556,0.999901533001937,7.1914111725021,3.20625238888011e-13,5.49629951663547e-12,"maternal",FALSE
"100","Hippocampus","Mouse 1","Slide-seq","Apoo",199,189,NA,NA,NA,NA,NA,NA,"paternal",TRUE
"101","Hippocampus","Mouse 1","Slide-seq","Apopt1",575,543,0.581425908129186,0.53883022525964,0.622841130482793,3.79928878653657,7.25559613252233e-05,0.000437184569706061,"low_bias",FALSE
"102","Hippocampus","Mouse 1","Slide-seq","App",5327,3956,0.578750165003675,0.564683725268083,0.592689929936525,11.0577764749101,1.00509529746953e-28,3.72770249633827e-27,"low_bias",FALSE
"103","Hippocampus","Mouse 1","Slide-seq","Appl2",388,367,0.411799819539734,0.362142892232551,0.463319882121966,-3.40288923995399,0.000333386523170101,0.00172757497990693,"low_bias",FALSE
"104","Hippocampus","Mouse 1","Slide-seq","Aqp4",1013,886,0.604410709322288,0.572140066741594,0.635796760613709,6.3602536381107,1.00710435589635e-10,1.40068263837754e-09,"maternal",FALSE
"105","Hippocampus","Mouse 1","Slide-seq","Araf",881,823,0.578784222129962,0.544301518616393,0.612515168155582,4.53613320538281,2.86475001876566e-06,2.2890827724473e-05,"low_bias",TRUE
"106","Hippocampus","Mouse 1","Slide-seq","Arap2",546,508,0.425244618887226,0.382798970628567,0.468821735052371,-3.41577815730775,0.000318000185266313,0.00165657870363555,"low_bias",FALSE
"107","Hippocampus","Mouse 1","Slide-seq","Arf3",10485,6536,0.455898529556074,0.445669327284166,0.466165074125776,-8.56105145195702,5.59213875034335e-18,1.29830087443995e-16,"low_bias",FALSE
"108","Hippocampus","Mouse 1","Slide-seq","Arf4",482,465,0.422883269422497,0.378189972120648,0.46887560607698,-3.33833286639983,0.000421413584276049,0.00210421329930217,"low_bias",FALSE
"109","Hippocampus","Mouse 1","Slide-seq","Arf5",509,482,0.701350775043146,0.659239151162792,0.740308268663413,8.80901150943444,6.3127112415587e-19,1.56412009207864e-17,"maternal",FALSE
"110","Hippocampus","Mouse 1","Slide-seq","Arhgap21",536,503,0.338439070805452,0.297867623397461,0.381533768526952,-7.16031092688074,4.02471399161839e-13,6.85946196779585e-12,"paternal",FALSE
"111","Hippocampus","Mouse 1","Slide-seq","Arhgap26",249,242,0.364396214435437,0.305361017028046,0.427815441051067,-4.18982847424477,1.39582699175847e-05,9.84615000920377e-05,"paternal",FALSE
"112","Hippocampus","Mouse 1","Slide-seq","Arhgef2",1041,947,0.364942773452744,0.334857218139925,0.396121600179397,-8.37306898731998,2.80683596323705e-17,6.2460044057392e-16,"paternal",FALSE
"113","Hippocampus","Mouse 1","Slide-seq","Arhgef28",348,320,0.410123161747219,0.3566653369395,0.465792181318894,-3.21058985812318,0.000662314232736717,0.0031071336757744,"low_bias",FALSE
"114","Hippocampus","Mouse 1","Slide-seq","Arhgef9",1857,1556,0.584927167301487,0.560242506435432,0.609192775244877,6.80034620378132,5.21840180344948e-12,8.20611078265109e-11,"low_bias",TRUE
"115","Hippocampus","Mouse 1","Slide-seq","Arl1",1516,1341,0.426734456612237,0.40075639764205,0.453123136033672,-5.5109570781926,1.78443876227019e-08,1.98170157836295e-07,"low_bias",FALSE
"116","Hippocampus","Mouse 1","Slide-seq","Arl16",509,478,0.641001322721978,0.596356749652005,0.683330071963008,6.12140340832763,4.63773701235197e-10,5.98440594350975e-09,"maternal",FALSE
"117","Hippocampus","Mouse 1","Slide-seq","Arl3",1104,1027,0.553853405843546,0.52307331824589,0.584225998265747,3.49093867376189,0.000240663361352078,0.0013020108641222,"low_bias",FALSE
"118","Hippocampus","Mouse 1","Slide-seq","Arl4c",446,404,0.313907356495974,0.271709967275747,0.3594239194615,-7.66397529706961,9.01322905444328e-15,1.72009746712142e-13,"paternal",FALSE
"119","Hippocampus","Mouse 1","Slide-seq","Armcx1",809,741,0.604862855274839,0.568677017046603,0.639935044295608,5.70302289352817,5.88505834446546e-09,6.87211664501244e-08,"maternal",TRUE
"120","Hippocampus","Mouse 1","Slide-seq","Arnt2",645,616,0.579996297113294,0.540027172351614,0.618943030410608,3.977152911665,3.48726590327103e-05,0.00022183826355544,"low_bias",FALSE
"121","Hippocampus","Mouse 1","Slide-seq","Arpc2",906,810,0.426704836484005,0.393809035857531,0.460262132606491,-4.34210425184012,7.05622680509563e-06,5.28723881444078e-05,"low_bias",FALSE
"122","Hippocampus","Mouse 1","Slide-seq","Arpc5",1083,965,0.449484386668676,0.419238914246576,0.480108030429682,-3.29295299490271,0.000495705239129474,0.00241984585690936,"low_bias",FALSE
"123","Hippocampus","Mouse 1","Slide-seq","Arpc5l",259,241,0.606266323519825,0.542336245675309,0.666753472930481,3.29634091437799,0.000489765363533002,0.0023977824273495,"maternal",FALSE
"124","Hippocampus","Mouse 1","Slide-seq","Arpp21",769,708,0.431510557866928,0.395328460793715,0.468438745461582,-3.69366378327628,0.000110523012769016,0.000647867004273248,"low_bias",FALSE
"125","Hippocampus","Mouse 1","Slide-seq","Arrdc2",294,280,0.610438591981722,0.551107679601787,0.666670671727096,3.68147213450896,0.000115945568443375,0.00067435073328756,"maternal",FALSE
"126","Hippocampus","Mouse 1","Slide-seq","As3mt",398,382,0.743485694043518,0.69652522733364,0.785418090621052,9.12038988302288,3.74272745097163e-20,9.68020341157005e-19,"maternal",FALSE
"127","Hippocampus","Mouse 1","Slide-seq","Asic2",562,527,0.426547950255965,0.384598009139932,0.469582101715476,-3.3992278658376,0.000337881954076203,0.00174779814314681,"low_bias",FALSE
"128","Hippocampus","Mouse 1","Slide-seq","Asphd1",168,165,0.61311090504199,0.535841779418666,0.685076786867143,2.90666677311665,0.00182651056654871,0.00752970409881953,"maternal",FALSE
"129","Hippocampus","Mouse 1","Slide-seq","Asphd2",244,236,NA,NA,NA,NA,NA,NA,"paternal",FALSE
"130","Hippocampus","Mouse 1","Slide-seq","Atg12",789,734,0.601694296519064,0.565350419611227,0.636950736972235,5.51421501086657,1.75170046365864e-08,1.94901464796132e-07,"maternal",FALSE
"131","Hippocampus","Mouse 1","Slide-seq","Atg4c",144,140,0.642863507324535,0.558491406530288,0.719218218281386,3.33253955731027,0.00043028617818509,0.00214488384848476,"maternal",FALSE
"132","Hippocampus","Mouse 1","Slide-seq","Atl2",309,283,0.412956756309969,0.356217229674709,0.472106342712845,-2.93050289905792,0.00169206917983877,0.00706166451062223,"low_bias",FALSE
"133","Hippocampus","Mouse 1","Slide-seq","Atp1a2",8717,5701,0.411959317258593,0.400747863394582,0.423262885878121,-15.313401057923,3.11116492600859e-53,2.21042645405695e-51,"low_bias",FALSE
"134","Hippocampus","Mouse 1","Slide-seq","Atp1b1",7868,4729,0.470152092667005,0.458595820456776,0.481740456684744,-5.14532134787584,1.33531626279539e-07,1.30586401354965e-06,"low_bias",FALSE
"135","Hippocampus","Mouse 1","Slide-seq","Atp1b3",1641,1454,0.415963151625697,0.391201783656149,0.44115609651832,-6.596319853542,2.10744545064388e-11,3.15421467574796e-10,"low_bias",FALSE
"136","Hippocampus","Mouse 1","Slide-seq","Atp2a2",2489,2056,0.444232420220478,0.423793874943046,0.464861440026718,-5.38363712024409,3.64977962608285e-08,3.8849730063196e-07,"low_bias",FALSE
"137","Hippocampus","Mouse 1","Slide-seq","Atp5e",1764,1633,0.569801911713952,0.545763299846734,0.593515871346785,5.76640014357992,4.04913275700083e-09,4.78511740842362e-08,"low_bias",FALSE
"138","Hippocampus","Mouse 1","Slide-seq","Atp5g1",4668,3701,0.562571887640976,0.547557549896609,0.57747245388397,8.27659228032439,6.33751448663718e-17,1.37398246057719e-15,"low_bias",FALSE
"139","Hippocampus","Mouse 1","Slide-seq","Atp5h",459,447,0.176629208026062,0.14355758515635,0.215403407907902,-12.4797204976926,4.81620910045662e-36,2.36676542211606e-34,"paternal",FALSE
"140","Hippocampus","Mouse 1","Slide-seq","Atp5j2",3471,3006,0.463974096656621,0.446683735443698,0.481351504995287,-4.14065028071696,1.73161313315235e-05,0.000118323553258394,"low_bias",FALSE
"141","Hippocampus","Mouse 1","Slide-seq","Atp5k",3246,2822,0.554267516265625,0.536625493640754,0.57177385759082,6.12471445532965,4.5423189227689e-10,5.87413479990531e-09,"low_bias",FALSE
"142","Hippocampus","Mouse 1","Slide-seq","Atp6ap2",589,557,0.670057878340851,0.629313524645011,0.708398931191242,7.90792512774928,1.3085706420885e-15,2.65176669291954e-14,"maternal",TRUE
