"","ID","Name","Species","Class","Family","Logo"
"","PB0008.1","E2F2_1","Mus musculus","Winged Helix-Turn-Helix","E2F",""
"","PB0009.1","E2F3_1","Mus musculus","Winged Helix-Turn-Helix","E2F",""
"","PB0010.1","Egr1_1","Mus musculus","Zinc-coordinating","BetaBetaAlpha-zinc finger",""
"","PB0011.1","Ehf_1","Mus musculus","Winged Helix-Turn-Helix","Ets",""
"","PB0012.1","Elf3_1","Mus musculus","Winged Helix-Turn-Helix","Ets",""
"","PB0013.1","Eomes_1","Mus musculus","Beta-Hairpin-Ribbon","T",""
"","PB0014.1","Esrra_1","Mus musculus","Zinc-coordinating","Hormone-nuclear Receptor",""
"","PB0015.1","Foxa2_1","Mus musculus","Winged Helix-Turn-Helix","Forkhead",""
"","PB0016.1","Foxj1_1","Mus musculus","Winged Helix-Turn-Helix","Forkhead",""
"","PB0017.1","Foxj3_1","Mus musculus","Winged Helix-Turn-Helix","Forkhead",""
"","PB0018.1","Foxk1_1","Mus musculus","Winged Helix-Turn-Helix","Forkhead",""
"","PB0019.1","Foxl1_1","Mus musculus","Winged Helix-Turn-Helix","Forkhead",""
"","PB0020.1","Gabpa_1","Mus musculus","Winged Helix-Turn-Helix","Ets",""
"","PB0021.1","Gata3_1","Mus musculus","Zinc-coordinating","GATA",""
"","PB0022.1","Gata5_1","Mus musculus","Zinc-coordinating","GATA",""
"","PB0023.1","Gata6_1","Mus musculus","Zinc-coordinating","GATA",""
"","PB0024.1","Gcm1_1","Mus musculus","Zinc-coordinating","Glial Cells Missing (GCM)",""
"","PB0025.1","Glis2_1","Mus musculus","Zinc-coordinating","BetaBetaAlpha-zinc finger",""
"","PB0026.1","Gm397_1","Mus musculus","Zinc-coordinating","BetaBetaAlpha-zinc finger",""
"","PB0027.1","Gmeb1_1","Mus musculus","Other Alpha-Helix","Sand",""
"","PB0028.1","Hbp1_1","Mus musculus","Other Alpha-Helix","High Mobility Group box (HMG)",""
"","PB0029.1","Hic1_1","Mus musculus","Zinc-coordinating","BetaBetaAlpha-zinc finger",""
"","PB0030.1","Hnf4a_1","Mus musculus","Zinc-coordinating","Hormone-nuclear Receptor",""
"","PB0031.1","Hoxa3_1","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PB0032.1","IRC900814_1","Mus musculus","","",""
"","PB0033.1","Irf3_1","Mus musculus","Winged Helix-Turn-Helix","IRF",""
"","PB0034.1","Irf4_1","Mus musculus","Winged Helix-Turn-Helix","IRF",""
"","PB0035.1","Irf5_1","Mus musculus","Winged Helix-Turn-Helix","IRF",""
"","PB0036.1","Irf6_1","Mus musculus","Winged Helix-Turn-Helix","IRF",""
"","PB0037.1","Isgf3g_1","Mus musculus","Winged Helix-Turn-Helix","IRF",""
"","PB0038.1","Jundm2_1","Mus musculus","Zipper-Type","Leucine Zipper",""
"","PB0105.1","Arid3a_2","Mus musculus","Helix-Turn-Helix","Arid",""
"","PB0106.1","Arid5a_2","Mus musculus","Helix-Turn-Helix","Arid",""
"","PB0107.1","Ascl2_2","Mus musculus","Zipper-Type","Helix-Loop-Helix",""
"","PB0108.1","Atf1_2","Mus musculus","Zipper-Type","Leucine Zipper",""
"","PB0109.1","Bbx_2","Mus musculus","Other Alpha-Helix","High Mobility Group box (HMG)",""
"","PB0110.1","Bcl6b_2","Mus musculus","Zinc-coordinating","BetaBetaAlpha-zinc finger",""
"","PB0111.1","Bhlhb2_2","Mus musculus","Zipper-Type","Helix-Loop-Helix",""
"","PB0112.1","E2F2_2","Mus musculus","Winged Helix-Turn-Helix","E2F",""
"","PB0113.1","E2F3_2","Mus musculus","Winged Helix-Turn-Helix","E2F",""
"","PB0114.1","Egr1_2","Mus musculus","Zinc-coordinating","BetaBetaAlpha-zinc finger",""
"","PB0115.1","Ehf_2","Mus musculus","Winged Helix-Turn-Helix","Ets",""
"","PB0116.1","Elf3_2","Mus musculus","Winged Helix-Turn-Helix","Ets",""
"","PB0117.1","Eomes_2","Mus musculus","Beta-Hairpin-Ribbon","E2F T",""
"","PB0118.1","Esrra_2","Mus musculus","Zinc-coordinating","Hormone-nuclear Receptor",""
"","PB0119.1","Foxa2_2","Mus musculus","Winged Helix-Turn-Helix","Forkhead",""
"","PB0120.1","Foxj1_2","Mus musculus","Winged Helix-Turn-Helix","Forkhead",""
"","PB0121.1","Foxj3_2","Mus musculus","Winged Helix-Turn-Helix","Forkhead",""
"","PB0122.1","Foxk1_2","Mus musculus","Winged Helix-Turn-Helix","Forkhead",""
"","PB0123.1","Foxl1_2","Mus musculus","Winged Helix-Turn-Helix","Forkhead",""
"","PB0124.1","Gabpa_2","Mus musculus","Winged Helix-Turn-Helix","Ets",""
"","PB0125.1","Gata3_2","Mus musculus","Zinc-coordinating","GATA",""
"","PB0126.1","Gata5_2","Mus musculus","Zinc-coordinating","GATA",""
"","PB0127.1","Gata6_2","Mus musculus","Zinc-coordinating","GATA",""
"","PB0128.1","Gcm1_2","Mus musculus","Zinc-coordinating","Glial Cells Missing (GCM)",""
"","PB0129.1","Glis2_2","Mus musculus","Zinc-coordinating","BetaBetaAlpha-zinc finger",""
"","PB0130.1","Gm397_2","Mus musculus","Zinc-coordinating","BetaBetaAlpha-zinc finger",""
"","PB0131.1","Gmeb1_2","Mus musculus","Other Alpha-Helix","Sand",""
"","PB0132.1","Hbp1_2","Mus musculus","Other Alpha-Helix","High Mobility Group box (HMG)",""
"","PB0133.1","Hic1_2","Mus musculus","Zinc-coordinating","BetaBetaAlpha-zinc finger",""
"","PB0134.1","Hnf4a_2","Mus musculus","Zinc-coordinating","Hormone-nuclear Receptor",""
"","PB0135.1","Hoxa3_2","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PB0136.1","IRC900814_2","Mus musculus","","",""
"","PB0137.1","Irf3_2","Mus musculus","Winged Helix-Turn-Helix","IRF",""
"","PB0138.1","Irf4_2","Mus musculus","Winged Helix-Turn-Helix","IRF",""
"","PB0139.1","Irf5_2","Mus musculus","Winged Helix-Turn-Helix","IRF",""
"","PB0140.1","Irf6_2","Mus musculus","Winged Helix-Turn-Helix","IRF",""
"","PB0141.1","Isgf3g_2","Mus musculus","Winged Helix-Turn-Helix","IRF",""
"","PB0142.1","Jundm2_2","Mus musculus","Zipper-Type","Leucine Zipper",""
"","PH0001.1","Alx3","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0002.1","Alx4","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0003.1","Arx","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0005.1","Barhl1","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0006.1","Barhl2","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0007.1","Barx1","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0008.1","Barx2","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0009.1","Bsx","Mus musculus","Helix-Turn-Helix","Homeo",""
"","PH0010.1","Alx1_1","Mus musculus","Helix-Turn-Helix","Homeo",""
