gene_id	gene_name
290	1700060O08Rik
291	1700061E17Rik
292	1700061E18Rik
293	1700061F12Rik
294	1700061I17Rik
295	1700063D05Rik
296	1700063H06Rik
297	1700063K16Rik
298	1700063O14Rik
299	1700064H15Rik
300	1700064M15Rik
301	1700065D16Rik
302	1700065I16Rik
303	1700065J11Rik
304	1700065J18Rik
305	1700066B17Rik
306	1700066B19Rik
307	1700066J03Rik
308	1700066M21Rik
309	1700066O22Rik
310	1700067G17Rik
311	1700067K01Rik
312	1700067P10Rik
313	1700069B07Rik
314	1700069L16Rik
315	1700069P05Rik
316	1700071M16Rik
317	1700072O05Rik
318	1700073E17Rik
319	1700074A21Rik
320	1700074P13Rik
321	1700080N15Rik
322	1700081B01Rik
323	1700081H04Rik
324	1700082M22Rik
325	1700083H02Rik
326	1700084C06Rik
327	1700084E18Rik
328	1700084F23Rik
329	1700084J12Rik
330	1700084M14Rik
331	1700086D15Rik
332	1700086L19Rik
333	1700086O06Rik
334	1700086P04Rik
335	1700088E04Rik
336	1700092C02Rik
337	1700092C17Rik
338	1700092E19Rik
339	1700092M07Rik
340	1700093K21Rik
341	1700094D03Rik
342	1700094M23Rik
343	1700094M24Rik
344	1700095A13Rik
345	1700095A21Rik
346	1700095J07Rik
347	1700095J12Rik
348	1700096K18Rik
349	1700097M23Rik
350	1700097N02Rik
351	1700099I09Rik
352	1700100L14Rik
353	1700101I11Rik
354	1700101I19Rik
355	1700101O22Rik
356	1700102P08Rik
357	1700105P06Rik
358	1700108F19Rik
359	1700108J01Rik
360	1700108N11Rik
361	1700109G14Rik
362	1700109G15Rik
363	1700109H08Rik
364	1700109K24Rik
365	1700110C19Rik
366	1700110I01Rik
367	1700110I07Rik
368	1700110K17Rik
369	1700111E14Rik
370	1700111N16Rik
371	1700112D23Rik
372	1700112H15Rik
373	1700112J16Rik
374	1700113A16Rik
375	1700113H08Rik
376	1700116B05Rik
377	1700120C14Rik
378	1700120C18Rik
379	1700120E14Rik
380	1700120G07Rik
381	1700120G11Rik
382	1700120O09Rik
383	1700121L03Rik
384	1700121L16Rik
385	1700121N20Rik
386	1700122E12Rik
387	1700122O11Rik
388	1700123J17Rik
389	1700123K08Rik
390	1700123L14Rik
391	1700123M08Rik
392	1700123O12Rik
393	1700123O20Rik
394	1700123O21Rik
395	1700124L16Rik
396	1700125G02Rik
397	1700125G22Rik
398	1700125H03Rik
399	1700125H20Rik
400	1700126A01Rik
401	1700126H18Rik
402	1700128A07Rik
403	1700128E19Rik
404	1700129C05Rik
405	1700129L04Rik
406	1810006J02Rik
407	1810007C17Rik
408	1810007D17Rik
409	1810008I18Rik
410	1810009A15Rik
411	1810010H24Rik
412	1810010K12Rik
413	1810012K08Rik
414	1810012K16Rik
415	1810013D15Rik
416	1810013L24Rik
417	1810014B01Rik
418	1810017P11Rik
419	1810018F18Rik
420	1810019D21Rik
421	1810019N24Rik
422	1810020O05Rik
423	1810021B22Rik
424	1810024B03Rik
425	1810026B05Rik
426	1810030O07Rik
427	1810034E14Rik
428	1810037I17Rik
429	1810041H14Rik
430	1810044D09Rik
431	1810046K07Rik
432	1810049I09Rik
433	1810053B23Rik
434	1810055G02Rik
435	1810058I24Rik
436	1810059C17Rik
437	1810059H22Rik
438	1810062G17Rik
439	1810062O18Rik
440	1810064F22Rik
441	1810065E05Rik
442	2010001A14Rik
443	2010003K11Rik
444	2010007H06Rik
445	2010008C14Rik
446	2010009K17Rik
447	2010010A06Rik
448	2010016I18Rik
449	2010106E10Rik
450	2010109A12Rik
451	2010110E17Rik
452	2010110K18Rik
453	2010204K13Rik
454	2010300C02Rik
455	2010308F09Rik
456	2010309G21Rik
457	2010310C07Rik
458	2010315B03Rik
459	2010320M18Rik
460	2010320O07Rik
461	2200002A13Rik
462	2200002D01Rik
463	2200002J24Rik
464	2200007N16Rik
465	2210010C04Rik
466	2210011K15Rik
467	2210016F16Rik
468	2210016L21Rik
469	2210017I01Rik
470	2210406H18Rik
471	2210406O10Rik
472	2210408F21Rik
473	2210408I21Rik
474	2210411M09Rik
475	2210412B16Rik
476	2210414B05Rik
477	2210418O10Rik
478	2300003K06Rik
479	2300009A05Rik
480	2310001H17Rik
481	2310001K20Rik
482	2310001K24Rik
483	2310002F09Rik
484	2310002L09Rik
485	2310003L06Rik
486	2310005A03Rik
487	2310005E17Rik
488	2310008N11Rik
489	2310009A05Rik
490	2310009B15Rik
491	2310010J17Rik
492	2310011J03Rik
493	2310015A10Rik
494	2310015D24Rik
495	2310015K22Rik
496	2310016D03Rik
497	2310016G11Rik
498	2310020H05Rik
499	2310022A10Rik
500	2310022B05Rik
501	2310026I22Rik
502	2310026L22Rik
503	2310030A07Rik
504	2310030G06Rik
505	2310033P09Rik
506	2310034C09Rik
507	2310034G01Rik
508	2310034O05Rik
509	2310039H08Rik
510	2310039L15Rik
511	2310040G07Rik
512	2310040G24Rik
513	2310043L19Rik
514	2310043M15Rik
515	2310043O21Rik
516	2310043P16Rik
517	2310044K18Rik
518	2310046K23Rik
519	2310047D07Rik
520	2310050C09Rik
521	2310057M21Rik
522	2310057N15Rik
523	2310058D17Rik
524	2310061I04Rik
525	2310065F04Rik
526	2310068J16Rik
527	2310069B03Rik
528	2310074N15Rik
529	2310075C17Rik
530	2400006E01Rik
531	2410002F23Rik
532	2410003L11Rik
533	2410004B18Rik
534	2410004I01Rik
535	2410004P03Rik
536	2410006H16Rik
537	2410012E07Rik
538	2410017I17Rik
539	2410018L13Rik
540	2410021H03Rik
541	2410022M11Rik
542	2410080I02Rik
543	2410124H12Rik
544	2410131K14Rik
545	2410137M14Rik
546	2410141K09Rik
547	2410152P15Rik
548	2500002B13Rik
549	2500004C02Rik
550	2510002D24Rik
551	2510009E07Rik
552	2510016D11Rik
553	2510017J16Rik
554	2510039O18Rik
555	2510046G10Rik
556	2600006K01Rik
557	2600014E21Rik
558	2610001A08Rik
559	2610001J05Rik
560	2610002M06Rik
561	2610005L07Rik
562	2610008E11Rik
563	2610011E03Rik
564	2610012C04Rik
565	2610016A17Rik
566	2610017A05Rik
567	2610020C07Rik
568	2610021A01Rik
569	2610027F03Rik
570	2610027K06Rik
571	2610028E06Rik
572	2610028H24Rik
573	2610035D17Rik
574	2610035F20Rik
575	2610037D02Rik
576	2610042L04Rik
577	2610044O15Rik8
578	2610105M22Rik
579	2610203C22Rik
580	2610206C17Rik
581	2610300A13Rik
582	2610300M13Rik
583	2610301B20Rik
584	2610303G11Rik
585	2610306M01Rik
586	2610306O10Rik
587	2610307P16Rik
588	2610316D01Rik
589	2610318N02Rik
590	2610507B11Rik
591	2610507I01Rik
592	2610509F24Rik
593	2610528A11Rik
594	2610528J11Rik
595	2700029L08Rik
596	2700033N17Rik
597	2700038G22Rik
598	2700046A07Rik
599	2700046G09Rik
600	2700049A03Rik
601	2700054A10Rik
602	2700062C07Rik
603	2700068H02Rik
604	2700069I18Rik
605	2700078F05Rik
606	2700080J24Rik
607	2700081O15Rik
608	2700089I24Rik
609	2700097O09Rik
610	2700099C18Rik
611	2810001G20Rik
612	2810002D19Rik
613	2810004N23Rik
614	2810006K23Rik
615	2810013P06Rik
616	2810021J22Rik
617	2810025M15Rik
618	2810029C07Rik
619	2810030D12Rik
620	2810032G03Rik
621	2810039B14Rik
622	2810049E08Rik
623	2810402E24Rik
624	2810403D21Rik
625	2810404F17Rik
626	2810404M03Rik
627	2810405F15Rik
628	2810405F17Rik
629	2810407A14Rik
630	2810408A11Rik
631	2810408I11Rik
632	2810410L24Rik
633	2810414N06Rik
634	2810428J06Rik
635	2810429I04Rik
636	2810430I11Rik
637	2810432F15Rik
638	2810433D01Rik
639	2810442N19Rik
640	2810454H06Rik
641	2810455O05Rik
642	2810459M11Rik
643	2810471M01Rik
644	2900002M20Rik
645	2900005J15Rik
646	2900009J06Rik
647	2900018N21Rik
648	2900022M07Rik
649	2900026A02Rik
650	2900027M19Rik
651	2900035J10Rik
652	2900037B21Rik
653	2900041M22Rik
654	2900042K21Rik
655	2900052L18Rik
656	2900052N01Rik
657	2900060B14Rik
658	2900064F13Rik
659	2900064K03Rik
660	2900069G24Rik
661	2900072N19Rik
662	2900076A07Rik
663	2900076G11Rik
664	2900079G21Rik
665	2900089D17Rik
666	2900092C05Rik
667	2900092N22Rik
