gene_id	gene_name
1	0610006L08Rik
2	0610009B22Rik
3	0610009E02Rik
4	0610009L18Rik
5	0610010F05Rik
6	0610010K14Rik
7	0610012G03Rik
8	0610025J13Rik
9	0610030E20Rik
10	0610031O16Rik
11	0610033M10Rik
12	0610038B21Rik
13	0610039K10Rik
14	0610040B10Rik
15	0610040F04Rik
16	0610040J01Rik
17	0610043K17Rik
18	1010001B22Rik
19	1110002E22Rik
20	1110002J07Rik
21	1110002L01Rik
22	1110002O04Rik
23	1110003F10Rik
24	1110004F10Rik
25	1110006O24Rik
26	1110008P14Rik
27	1110012L19Rik
28	1110015O18Rik
29	1110017D15Rik
30	1110018N20Rik
31	1110019D14Rik
32	1110020A21Rik
33	1110025M09Rik
34	1110028F18Rik
35	1110032A03Rik
36	1110032F04Rik
37	1110035H17Rik
38	1110038B12Rik
39	1110038F14Rik
40	1110046J04Rik
41	1110051M20Rik
42	1110059E24Rik
43	1110059G10Rik
44	1110060G06Rik
45	1110065P20Rik
46	1190005I06Rik
47	1190007I07Rik
48	1300002E11Rik
49	1300017J02Rik
50	1500002C15Rik
51	1500002F19Rik
52	1500004A13Rik
53	1500005C15Rik
54	1500009C09Rik
55	1500009L16Rik
56	1500011B03Rik
57	1500012K07Rik
58	1500015A07Rik
59	1500015L24Rik
60	1500026H17Rik
61	1500035N22Rik
62	1600002K03Rik
63	1600010M07Rik
64	1600012H06Rik
65	1600014C10Rik
66	1600014C23Rik
67	1600017P15Rik
68	1600019K03Rik
69	1600020E01Rik
70	1600023N17Rik
71	1600029O15Rik
72	1700001C02Rik
73	1700001C19Rik
74	1700001G01Rik
75	1700001G11Rik
76	1700001G17Rik
77	1700001J03Rik
78	1700001J11Rik
79	1700001K19Rik
80	1700001L05Rik
81	1700001L19Rik
82	1700001O22Rik
83	1700001P01Rik
84	1700003D09Rik
85	1700003E16Rik
86	1700003F12Rik
87	1700003G18Rik
88	1700003I16Rik
89	1700003M07Rik
90	1700006J14Rik
91	1700007E05Rik
92	1700007K13Rik
93	1700007L15Rik
94	1700007M16Rik
95	1700007P06Rik
96	1700008A23Rik
97	1700008H02Rik
98	1700008J07Rik
99	1700008O03Rik
100	1700009N14Rik
101	1700010B08Rik
102	1700010B13Rik
103	1700010I02Rik
104	1700010I14Rik
105	1700011D18Rik
106	1700012B09Rik
107	1700012C14Rik
108	1700012P22Rik
109	1700013F07Rik
110	1700013H16Rik
111	1700014D04Rik
112	1700015F17Rik
113	1700015O11Rik
114	1700016A09Rik
115	1700016C15Rik
116	1700016D06Rik
117	1700016K19Rik
118	1700016P03Rik
119	1700017B05Rik
120	1700017G19Rik
121	1700017M07Rik
122	1700017N19Rik
123	1700018A23Rik
124	1700018L02Rik
125	1700019A02Rik
126	1700019D03Rik
127	1700019G24Rik
128	1700020D05Rik
129	1700020G17Rik
130	1700020N01Rik
131	1700020N18Rik
132	1700021A07Rik
133	1700021F05Rik
134	1700021F07Rik
135	1700021N21Rik
136	1700022I11Rik
137	1700022N22Rik
138	1700023F02Rik
139	1700023H06Rik
140	1700024B05Rik
141	1700024B18Rik
142	1700024G13Rik
143	1700025C18Rik
144	1700025F24Rik
145	1700025G04Rik
146	1700025K24Rik
147	1700025M24Rik
148	1700025N23Rik
149	1700026D11Rik
150	1700027A15Rik
151	1700028B04Rik
152	1700028E10Rik
153	1700028J19Rik
154	1700028K03Rik
155	1700028N14Rik
156	1700028P14Rik
157	1700029E06Rik
158	1700029F12Rik
159	1700029I15Rik
160	1700029J07Rik
161	1700030A11Rik
162	1700030C10Rik
163	1700030C12Rik
164	1700030I03Rik
165	1700030J22Rik
166	1700030K09Rik
167	1700030N03Rik
168	1700030N18Rik
169	1700031M16Rik
170	1700034G24Rik
171	1700034H15Rik
172	1700034I23Rik
173	1700034K08Rik
174	1700034P13Rik
175	1700037C18Rik
176	1700037H04Rik
177	1700040D17Rik
178	1700040K01Rik
179	1700040L08Rik
180	1700041G16Rik
181	1700044C05Rik
182	1700045I11Rik
183	1700046C09Rik
184	1700047A11Rik
185	1700047F07Rik
186	1700047K16Rik
187	1700047M11Rik
188	1700048F04Rik
189	1700048M11Rik
190	1700048O20Rik
191	1700052K11Rik
192	1700054O19Rik
193	1700055D18Rik
194	1700056E22Rik
195	1700056N10Rik
196	1700057G04Rik
197	1700060J05Rik
198	1700061E18Rik
199	1700063D05Rik
200	1700064H15Rik
201	1700065D16Rik
202	1700065J18Rik
203	1700066B17Rik
204	1700066B19Rik
205	1700066J03Rik
206	1700066M21Rik
207	1700067K01Rik
208	1700069B07Rik
209	1700069L16Rik
210	1700071M16Rik
211	1700072G22Rik
212	1700073E17Rik
213	1700074H08Rik
214	1700080N15Rik
215	1700082M22Rik
216	1700084C06Rik
217	1700084E18Rik
