gene_id	gene_name
1	0610009B22Rik
2	0610009E02Rik
3	0610009L18Rik
4	0610010F05Rik
5	0610010K14Rik
6	0610012G03Rik
7	0610025J13Rik
8	0610030E20Rik
9	0610033M10Rik
10	0610038B21Rik
11	0610040B10Rik
12	0610040F04Rik
13	0610040J01Rik
14	0610043K17Rik
15	1010001B22Rik
16	1110002E22Rik
17	1110002J07Rik
18	1110002L01Rik
19	1110002O04Rik
20	1110003F10Rik
21	1110004F10Rik
22	1110006O24Rik
23	1110008E08Rik
24	1110008P14Rik
25	1110012L19Rik
26	1110015O18Rik
27	1110017D15Rik
28	1110018N20Rik
29	1110019D14Rik
30	1110020A21Rik
31	1110025M09Rik
32	1110028F11Rik
33	1110032A03Rik
34	1110032F04Rik
35	1110035H17Rik
36	1110038B12Rik
37	1110038F14Rik
38	1110046J04Rik
39	1110051M20Rik
40	1110059E24Rik
41	1110059G10Rik
42	1110060G06Rik
43	1110065P20Rik
44	1190005I06Rik
45	1190007I07Rik
46	1300002E11Rik
47	1500002C15Rik
48	1500002F19Rik
49	1500004A13Rik
50	1500005C15Rik
51	1500009C09Rik
52	1500009L16Rik
53	1500011B03Rik
54	1500012K07Rik
55	1500015A07Rik
56	1500015L24Rik
57	1500026H17Rik
58	1500035N22Rik
59	1520401A03Rik
60	1600002K03Rik
61	1600012H06Rik
62	1600014C10Rik
63	1600014C23Rik
64	1600017P15Rik
65	1600020E01Rik
66	1600023N17Rik
67	1600029O15Rik
68	1700001C02Rik
69	1700001C19Rik
70	1700001G11Rik
71	1700001G17Rik
72	1700001J03Rik
73	1700001J04Rik
74	1700001J11Rik
75	1700001K19Rik
76	1700001L05Rik
77	1700001L19Rik
78	1700001O22Rik
79	1700003D09Rik
80	1700003E16Rik
81	1700003F12Rik
82	1700003I16Rik
83	1700003M07Rik
84	1700007K13Rik
85	1700007L15Rik
86	1700007P06Rik
87	1700008A23Rik
88	1700008H02Rik
89	1700008J07Rik
90	1700008O03Rik
91	1700010B13Rik
92	1700010H22Rik
93	1700010I14Rik
94	1700011D18Rik
95	1700012B09Rik
96	1700012C14Rik
97	1700012P22Rik
98	1700013D24Rik
99	1700013F07Rik
100	1700014D04Rik
101	1700015F17Rik
102	1700016H13Rik
103	1700016K19Rik
104	1700016P03Rik
105	1700017B05Rik
106	1700017N19Rik
107	1700018L02Rik
108	1700019A02Rik
109	1700019D03Rik
110	1700019G24Rik
111	1700020D05Rik
112	1700020N01Rik
113	1700020N18Rik
114	1700021F05Rik
115	1700021F07Rik
116	1700021J08Rik
117	1700021L23Rik
118	1700021N21Rik
119	1700022I11Rik
120	1700022N22Rik
121	1700023H06Rik
122	1700024B05Rik
123	1700024G13Rik
124	1700025G04Rik
125	1700026J14Rik
126	1700027A07Rik
127	1700027A15Rik
128	1700027F06Rik
129	1700028B04Rik
130	1700028E10Rik
131	1700028J19Rik
132	1700028K03Rik
133	1700028P14Rik
134	1700029E06Rik
